Fight Outcome,Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Title Fight,Outcome Method,Number of Rounds
0,Kevin Holland,0,37,0,0,Middleweight,0,U-DEC,5
1,Arnold Allen,1,21,2,0,Featherweight,0,U-DEC,3
0,Sodiq Yusuff,0,47,0,1,Featherweight,0,U-DEC,3
1,Julian Marquez,1,61,0,1,Middleweight,0,SUB,2
0,Sam Alvey,0,29,0,0,Middleweight,0,SUB,2
1,Mackenzie Dern,0,12,1,1,Women's Strawweight,0,SUB,1
0,Nina Nunes,0,4,0,0,Women's Strawweight,0,SUB,1
1,Daniel Rodriguez,0,129,0,0,Welterweight,0,U-DEC,3
0,Mike Perry,0,61,2,0,Welterweight,0,U-DEC,3
1,Joe Solecki,0,19,1,0,Lightweight,0,U-DEC,3
0,Jim Miller,0,11,0,0,Lightweight,0,U-DEC,3
1,Mateusz Gamrot,1,39,2,0,Lightweight,0,KO/TKO,2
0,Scott Holtzman,0,10,0,0,Lightweight,0,KO/TKO,2
1,John Makdessi,0,124,0,0,Lightweight,0,S-DEC,3
0,Ignacio Bahamondes,0,112,0,0,Lightweight,0,S-DEC,3
1,Jarjis Danho,1,10,0,0,Heavyweight,0,KO/TKO,1
0,Yorgan De Castro,0,2,0,0,Heavyweight,0,KO/TKO,1
1,Jack Shore,0,36,6,0,Bantamweight,0,S-DEC,3
0,Hunter Azure,0,45,0,1,Bantamweight,0,S-DEC,3
1,Luis Saldana,0,36,0,1,Featherweight,0,U-DEC,3
0,Jordan Griffin,0,33,4,2,Featherweight,0,U-DEC,3
1,Da-Un Jung,0,28,8,0,Light Heavyweight,0,U-DEC,3
0,William Knight,0,17,0,0,Light Heavyweight,0,U-DEC,3
1,Impa Kasanganay,0,13,2,1,Welterweight,0,SUB,2
0,Sasha Palatnikov,0,13,0,0,Welterweight,0,SUB,2
1,Francis Ngannou,2,36,1,0,Heavyweight,1,KO/TKO,2
0,Stipe Miocic,0,12,0,0,Heavyweight,1,KO/TKO,2
1,Vicente Luque,0,25,0,1,Welterweight,0,SUB,1
0,Tyron Woodley,0,18,0,0,Welterweight,0,SUB,1
1,Sean O'Malley,2,86,0,0,Bantamweight,0,KO/TKO,3
0,Thomas Almeida,0,25,1,0,Bantamweight,0,KO/TKO,3
1,Miranda Maverick,0,71,3,0,Women's Flyweight,0,U-DEC,3
0,Gillian Robertson,0,27,2,1,Women's Flyweight,0,U-DEC,3
1,Jamie Mullarkey,1,6,0,0,Lightweight,0,KO/TKO,1
0,Khama Worthy,0,5,0,0,Lightweight,0,KO/TKO,1
1,Alonzo Menifield,0,3,1,1,Light Heavyweight,0,SUB,1
0,Fabio Cherant,0,0,0,0,Light Heavyweight,0,SUB,1
1,Abubakar Nurmagomedov,0,60,1,0,Welterweight,0,U-DEC,3
0,Jared Gooden,0,43,0,0,Welterweight,0,U-DEC,3
1,Michal Oleksiejczuk,0,56,0,0,Light Heavyweight,0,S-DEC,3
0,Modestas Bukauskas,0,58,0,0,Light Heavyweight,0,S-DEC,3
1,Omar Morales,0,69,2,0,Featherweight,0,U-DEC,3
0,Shane Young,0,46,1,0,Featherweight,0,U-DEC,3
1,Marc-Andre Barriault,1,141,0,0,Middleweight,0,KO/TKO,3
0,Abu Azaitar,0,108,0,0,Middleweight,0,KO/TKO,3
1,Derek Brunson,0,43,6,1,Middleweight,0,U-DEC,5
0,Kevin Holland,0,36,1,0,Middleweight,0,U-DEC,5
1,Max Griffin,1,17,0,0,Welterweight,0,KO/TKO,1
0,Song Kenan,0,14,0,0,Welterweight,0,KO/TKO,1
1,Montserrat Conejo,0,15,4,2,Women's Strawweight,0,U-DEC,3
0,Cheyanne Buys,0,31,0,0,Women's Strawweight,0,U-DEC,3
1,Adrian Yanez,2,41,0,0,Bantamweight,0,KO/TKO,3
0,Gustavo Lopez,0,23,0,0,Bantamweight,0,KO/TKO,3
1,Tai Tuivasa,1,14,0,0,Heavyweight,0,KO/TKO,1
0,Harry Hunsucker,0,2,0,0,Heavyweight,0,KO/TKO,1
1,Macy Chiasson,0,51,1,0,Women's Bantamweight,0,U-DEC,3
0,Marion Reneau,0,30,2,0,Women's Bantamweight,0,U-DEC,3
1,Grant Dawson,0,46,1,0,Lightweight,0,KO/TKO,3
0,Leonardo Santos,0,30,1,0,Lightweight,0,KO/TKO,3
1,Trevin Giles,0,27,1,1,Middleweight,0,U-DEC,3
0,Roman Dolidze,0,32,1,2,Middleweight,0,U-DEC,3
1,Montel Jackson,2,15,0,0,Bantamweight,0,KO/TKO,1
0,Jesse Strader,0,14,0,0,Bantamweight,0,KO/TKO,1
1,Bruno Silva,3,37,1,0,Flyweight,0,KO/TKO,2
0,JP Buys,0,17,0,1,Flyweight,0,KO/TKO,2
1,Leon Edwards,0,19,0,0,Welterweight,0,CNC,2
0,Belal Muhammad,0,8,0,0,Welterweight,0,CNC,2
1,Ryan Spann,1,16,0,0,Light Heavyweight,0,KO/TKO,1
0,Misha Cirkunov,0,5,0,0,Light Heavyweight,0,KO/TKO,1
1,Dan Ige,1,1,0,0,Featherweight,0,KO/TKO,1
0,Gavin Tucker,0,1,0,0,Featherweight,0,KO/TKO,1
1,Davey Grant,1,48,0,0,Bantamweight,0,KO/TKO,2
0,Jonathan Martinez,1,29,0,0,Bantamweight,0,KO/TKO,2
1,Matheus Nicolau,0,55,2,1,Flyweight,0,S-DEC,3
0,Manel Kape,0,61,0,0,Flyweight,0,S-DEC,3
1,Eryk Anders,1,43,3,0,Middleweight,0,CNC,1
0,Darren Stewart,0,15,0,0,Middleweight,0,CNC,1
1,Angela Hill,0,77,1,0,Women's Strawweight,0,U-DEC,3
0,Ashley Yoder,0,34,2,0,Women's Strawweight,0,U-DEC,3
1,Charles Jourdain,2,106,0,0,Featherweight,0,KO/TKO,3
0,Marcelo Rojo,0,74,1,0,Featherweight,0,KO/TKO,3
1,Rani Yahya,0,8,2,1,Bantamweight,0,SUB,2
0,Ray Rodriguez,0,3,0,0,Bantamweight,0,SUB,2
1,Nasrat Haqparast,0,99,0,0,Lightweight,0,U-DEC,3
0,Rafa Garcia,0,52,0,0,Lightweight,0,U-DEC,3
1,JJ Aldrich,0,45,4,0,Women's Flyweight,0,S-DEC,3
0,Cortney Casey,0,55,0,0,Women's Flyweight,0,S-DEC,3
1,Jinh Yu Frey,0,24,2,2,Women's Strawweight,0,U-DEC,3
0,Gloria de Paula,0,31,0,0,Women's Strawweight,0,U-DEC,3
1,Matthew Semelsberger,1,3,0,0,Welterweight,0,KO/TKO,1
0,Jason Witt,0,4,0,0,Welterweight,0,KO/TKO,1
1,Jan Blachowicz,0,107,3,0,Light Heavyweight,1,U-DEC,5
0,Israel Adesanya,0,78,0,0,Light Heavyweight,1,U-DEC,5
1,Amanda Nunes,0,18,0,2,Women's Featherweight,1,SUB,1
0,Megan Anderson,0,2,0,0,Women's Featherweight,1,SUB,1
1,Aljamain Sterling,0,97,1,0,Bantamweight,1,DQ,4
0,Petr Yan,1,86,7,0,Bantamweight,1,DQ,4
1,Islam Makhachev,0,15,3,2,Lightweight,0,SUB,3
0,Drew Dober,0,10,0,0,Lightweight,0,SUB,3
1,Aleksandar Rakic,0,36,0,0,Light Heavyweight,0,U-DEC,3
0,Thiago Santos,0,49,0,0,Light Heavyweight,0,U-DEC,3
1,Dominick Cruz,0,89,2,0,Bantamweight,0,S-DEC,3
0,Casey Kenney,0,74,0,0,Bantamweight,0,S-DEC,3
1,Kyler Phillips,0,59,3,0,Bantamweight,0,U-DEC,3
0,Song Yadong,0,67,0,0,Bantamweight,0,U-DEC,3
1,Askar Askarov,0,58,5,0,Flyweight,0,U-DEC,3
0,Joseph Benavidez,0,46,0,0,Flyweight,0,U-DEC,3
1,Kai Kara-France,1,13,0,0,Flyweight,0,KO/TKO,1
