Fight Outcome,Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Title Fight,Outcome Method,Number of Rounds
0,Brad Scott,1,58,0,0,Welterweight,0,S-DEC,3
1,Gillian Robertson,0,17,2,1,Women's Flyweight,0,SUB,2
0,Molly McCann,0,10,0,0,Women's Flyweight,0,SUB,2
1,Elias Theodorou,0,77,0,0,Middleweight,0,U-DEC,3
0,Trevor Smith,0,41,3,0,Middleweight,0,U-DEC,3
1,Kamaru Usman,1,66,0,0,Welterweight,0,U-DEC,5
0,Demian Maia,0,27,0,0,Welterweight,0,U-DEC,5
1,Tatiana Suarez,0,2,2,1,Women's Strawweight,0,SUB,1
0,Alexa Grasso,0,6,0,0,Women's Strawweight,0,SUB,1
1,Dominick Reyes,1,20,0,0,Light Heavyweight,0,KO/TKO,1
0,Jared Cannonier,0,6,0,0,Light Heavyweight,0,KO/TKO,1
1,Guido Cannetti,0,25,1,1,Bantamweight,0,U-DEC,3
0,Diego Rivas,0,22,2,1,Bantamweight,0,U-DEC,3
1,Andrea Lee,0,56,3,2,Women's Flyweight,0,U-DEC,3
0,Veronica Macedo,0,24,1,1,Women's Flyweight,0,U-DEC,3
1,Vicente Luque,1,14,0,0,Welterweight,0,KO/TKO,1
0,Chad Laprise,0,13,0,0,Welterweight,0,KO/TKO,1
1,Michel Prazeres,0,30,3,0,Welterweight,0,S-DEC,3
0,Zak Cummings,0,28,0,0,Welterweight,0,S-DEC,3
1,Alexandre Pantoja,0,79,0,0,Flyweight,0,U-DEC,3
0,Brandon Moreno,0,45,2,0,Flyweight,0,U-DEC,3
1,Poliana Botelho,1,9,0,0,Women's Strawweight,0,KO/TKO,1
0,Syuri Kondo,0,2,0,0,Women's Strawweight,0,KO/TKO,1
1,Gabriel Benitez,1,9,1,0,Featherweight,0,KO/TKO,1
0,Humberto Bandenay,0,2,0,1,Featherweight,0,KO/TKO,1
1,Enrique Barzola,0,51,10,1,Featherweight,0,U-DEC,3
0,Brandon Davis,0,29,0,0,Featherweight,0,U-DEC,3
1,Frankie Saenz,1,66,4,0,Bantamweight,0,U-DEC,3
0,Henry Briones,0,44,0,1,Bantamweight,0,U-DEC,3
1,Claudio Puelles,0,16,2,1,Lightweight,0,SUB,3
0,Felipe Silva,1,70,1,0,Lightweight,0,SUB,3
1,Amanda Nunes,0,124,3,0,Women's Bantamweight,1,KO/TKO,5
0,Raquel Pennington,0,64,1,0,Women's Bantamweight,1,KO/TKO,5
1,Kelvin Gastelum,1,53,0,0,Middleweight,0,S-DEC,3
0,Jacare Souza,0,64,1,1,Middleweight,0,S-DEC,3
1,Mackenzie Dern,1,15,0,1,Women's Strawweight,0,SUB,1
0,Amanda Cooper,0,6,0,0,Women's Strawweight,0,SUB,1
1,John Lineker,2,102,0,1,Bantamweight,0,KO/TKO,3
0,Brian Kelleher,0,50,1,0,Bantamweight,0,KO/TKO,3
1,Lyoto Machida,1,11,0,0,Middleweight,0,KO/TKO,2
0,Vitor Belfort,0,2,0,0,Middleweight,0,KO/TKO,2
1,Cezar Ferreira,0,5,2,1,Middleweight,0,SUB,1
0,Karl Roberson,0,4,0,0,Middleweight,0,SUB,1
1,Aleksei Oleinik,0,10,0,1,Heavyweight,0,SUB,1
0,Junior Albini,0,10,1,0,Heavyweight,0,SUB,1
1,Davi Ramos,0,6,1,1,Lightweight,0,SUB,1
0,Nick Hein,0,1,0,0,Lightweight,0,SUB,1
1,Elizeu Zaleski dos Santos,1,15,0,0,Welterweight,0,KO/TKO,1
0,Sean Strickland,0,14,0,0,Welterweight,0,KO/TKO,1
1,Warlley Alves,0,29,0,0,Welterweight,0,KO/TKO,2
0,Sultan Aliev,0,12,1,0,Welterweight,0,KO/TKO,2
1,Jack Hermansson,0,35,3,1,Middleweight,0,KO/TKO,3
0,Thales Leites,0,11,3,3,Middleweight,0,KO/TKO,3
1,Ramazan Emeev,0,39,3,0,Welterweight,0,U-DEC,3
0,Alberto Mina,0,12,1,0,Welterweight,0,U-DEC,3
1,Markus Perez,0,4,1,2,Middleweight,0,SUB,1
0,James Bochnovic,0,3,0,0,Middleweight,0,SUB,1
1,Kevin Lee,0,142,4,0,Lightweight,0,KO/TKO,5
0,Edson Barboza,0,51,0,0,Lightweight,0,KO/TKO,5
1,Frankie Edgar,0,58,0,0,Featherweight,0,U-DEC,3
0,Cub Swanson,0,48,0,0,Featherweight,0,U-DEC,3
1,Justin Willis,1,76,1,0,Heavyweight,0,U-DEC,3
0,Chase Sherman,0,69,0,0,Heavyweight,0,U-DEC,3
1,David Branch,1,5,0,0,Middleweight,0,KO/TKO,1
0,Thiago Santos,0,14,0,0,Middleweight,0,KO/TKO,1
1,Aljamain Sterling,0,89,3,0,Bantamweight,0,U-DEC,3
0,Brett Johns,0,27,1,0,Bantamweight,0,U-DEC,3
1,Dan Hooker,1,24,0,0,Lightweight,0,KO/TKO,1
0,Jim Miller,0,10,1,0,Lightweight,0,KO/TKO,1
1,Ryan LaFlare,0,24,1,0,Welterweight,0,U-DEC,3
0,Alex Garcia,0,11,5,0,Welterweight,0,U-DEC,3
1,Ricky Simon,0,34,2,1,Bantamweight,0,KO/TKO,3
0,Merab Dvalishvili,1,61,6,0,Bantamweight,0,KO/TKO,3
1,Siyar Bahadurzada,1,33,1,0,Welterweight,0,KO/TKO,2
0,Luan Chagas,0,11,0,0,Welterweight,0,KO/TKO,2
1,Corey Anderson,0,64,12,0,Light Heavyweight,0,U-DEC,3
0,Patrick Cummins,0,31,0,0,Light Heavyweight,0,U-DEC,3
1,Anthony Rocco Martin,0,56,0,2,Welterweight,0,U-DEC,3
0,Keita Nakamura,0,24,2,0,Welterweight,0,U-DEC,3
1,Dustin Poirier,0,174,0,0,Lightweight,0,KO/TKO,4
0,Justin Gaethje,0,115,0,0,Lightweight,0,KO/TKO,4
1,Alex Oliveira,0,9,3,1,Welterweight,0,SUB,2
0,Carlos Condit,0,12,1,1,Welterweight,0,SUB,2
1,Israel Adesanya,0,57,0,0,Middleweight,0,S-DEC,3
0,Marvin Vettori,0,46,2,0,Middleweight,0,S-DEC,3
1,Michelle Waterson,0,61,3,0,Women's Strawweight,0,S-DEC,3
0,Cortney Casey,0,36,0,3,Women's Strawweight,0,S-DEC,3
1,Antonio Carlos Junior,0,31,1,1,Middleweight,0,SUB,1
0,Tim Boetsch,0,7,0,0,Middleweight,0,SUB,1
1,Muslim Salikhov,1,25,0,0,Welterweight,0,KO/TKO,2
0,Ricky Rainey,0,19,0,0,Welterweight,0,KO/TKO,2
1,John Moraga,0,46,0,1,Flyweight,0,U-DEC,3
0,Wilson Reis,0,12,8,0,Flyweight,0,U-DEC,3
1,Brad Tavares,1,46,0,0,Middleweight,0,KO/TKO,3
0,Krzysztof Jotko,0,24,0,0,Middleweight,0,KO/TKO,3
1,Gilbert Burns,1,31,2,0,Lightweight,0,KO/TKO,2
0,Dan Moret,0,20,0,0,Lightweight,0,KO/TKO,2
1,Lauren Mueller,0,58,2,0,Women's Flyweight,0,U-DEC,3
0,Shana Dobson,0,68,1,0,Women's Flyweight,0,U-DEC,3
1,Yushin Okami,0,15,6,0,Welterweight,0,U-DEC,3
0,Dhiego Lima,0,11,0,0,Welterweight,0,U-DEC,3
1,Adam Wieczorek,0,13,0,1,Heavyweight,0,SUB,2
0,Arjan Bhullar,0,9,2,0,Heavyweight,0,SUB,2
1,Alejandro Perez,0,44,0,0,Bantamweight,0,KO/TKO,2
0,Matthew Lopez,0,22,3,2,Bantamweight,0,KO/TKO,2
1,Luke Sanders,1,59,0,0,Bantamweight,0,U-DEC,3
0,Patrick Williams,0,61,1,0,Bantamweight,0,U-DEC,3
1,Khabib Nurmagomedov,0,134,6,1,Lightweight,1,U-DEC,5
0,Al Iaquinta,0,41,0,0,Lightweight,1,U-DEC,5
1,Rose Namajunas,0,105,1,0,Women's Strawweight,1,U-DEC,5
0,Joanna Jedrzejczyk,0,145,0,0,Women's Strawweight,1,U-DEC,5
1,Renato Moicano,0,116,0,0,Featherweight,0,U-DEC,3
0,Calvin Kattar,0,41,0,0,Featherweight,0,U-DEC,3
1,Zabit Magomedsharipov,0,97,5,0,Featherweight,0,U-DEC,3
0,Kyle Bochniak,0,43,0,0,Featherweight,0,U-DEC,3
1,Chris Gruetzemacher,0,128,0,0,Lightweight,0,KO/TKO,2
0,Joe Lauzon,0,48,0,0,Lightweight,0,KO/TKO,2
1,Karolina Kowalkiewicz,0,126,0,0,Women's Strawweight,0,S-DEC,3
0,Felice Herrig,0,86,0,0,Women's Strawweight,0,S-DEC,3
1,Olivier Aubin-Mercier,1,13,0,0,Lightweight,0,KO/TKO,1
0,Evan Dunham,0,4,0,0,Lightweight,0,KO/TKO,1
1,Ashlee Evans-Smith,0,116,1,0,Women's Flyweight,0,U-DEC,3
0,Bec Rawlings,0,88,0,0,Women's Flyweight,0,U-DEC,3
1,Devin Clark,0,50,7,0,Light Heavyweight,0,U-DEC,3
0,Mike Rodriguez,0,40,0,0,Light Heavyweight,0,U-DEC,3
1,Alexander Volkov,1,48,2,0,Heavyweight,0,KO/TKO,4
0,Fabricio Werdum,0,48,3,0,Heavyweight,0,KO/TKO,4
1,Jan Blachowicz,1,97,1,0,Light Heavyweight,0,U-DEC,3
0,Jimi Manuwa,0,37,0,0,Light Heavyweight,0,U-DEC,3
1,Tom Duquesnoy,0,67,0,0,Bantamweight,0,U-DEC,3
0,Terrion Ware,0,85,2,0,Bantamweight,0,U-DEC,3
1,Leon Edwards,1,42,1,0,Welterweight,0,KO/TKO,3
0,Peter Sobotta,0,16,1,0,Welterweight,0,KO/TKO,3
1,Charles Byrd,0,11,1,1,Middleweight,0,SUB,1
0,John Phillips,0,0,0,0,Middleweight,0,SUB,1
1,Danny Roberts,1,4,0,0,Welterweight,0,KO/TKO,1
0,Oliver Enkamp,0,7,0,0,Welterweight,0,KO/TKO,1
1,Danny Henry,1,2,0,1,Featherweight,0,SUB,1
0,Hakeem Dawodu,0,3,0,0,Featherweight,0,SUB,1
1,Paul Craig,0,18,2,1,Light Heavyweight,0,SUB,3
0,Magomed Ankalaev,0,59,0,0,Light Heavyweight,0,SUB,3
1,Kajan Johnson,0,33,2,0,Lightweight,0,S-DEC,3
0,Stevie Ray,0,24,3,1,Lightweight,0,S-DEC,3
1,Dmitry Sosnovskiy,0,28,2,2,Heavyweight,0,SUB,2
0,Mark Godbeer,0,24,0,0,Heavyweight,0,SUB,2
1,Cristiane Justino,0,33,1,0,Women's Featherweight,1,KO/TKO,1
0,Yana Kunitskaya,0,5,1,0,Women's Featherweight,1,KO/TKO,1
1,Brian Ortega,1,25,0,0,Featherweight,0,KO/TKO,1
0,Frankie Edgar,0,27,0,0,Featherweight,0,KO/TKO,1
1,Sean O'Malley,0,63,0,3,Bantamweight,0,U-DEC,3
0,Andre Soukhamthath,0,25,4,0,Bantamweight,0,U-DEC,3
1,Andrei Arlovski,0,46,4,0,Heavyweight,0,U-DEC,3
0,Stefan Struve,0,34,0,0,Heavyweight,0,U-DEC,3
1,Ketlen Vieira,0,41,2,1,Women's Bantamweight,0,S-DEC,3
0,Cat Zingano,0,59,0,0,Women's Bantamweight,0,S-DEC,3
1,Mackenzie Dern,0,70,1,1,Women's Strawweight,0,S-DEC,3
0,Ashley Yoder,1,52,0,0,Women's Strawweight,0,S-DEC,3
1,Alexander Hernandez,1,8,0,0,Lightweight,0,KO/TKO,1
0,Beneil Dariush,0,4,0,0,Lightweight,0,KO/TKO,1
1,John Dodson,0,76,0,0,Bantamweight,0,S-DEC,3
0,Pedro Munhoz,0,69,1,0,Bantamweight,0,S-DEC,3
1,CB Dollaway,0,13,0,0,Middleweight,0,DQ,1
0,Hector Lombard,1,19,0,0,Middleweight,0,DQ,1
1,Zak Ottow,1,22,0,0,Welterweight,0,KO/TKO,1
0,Mike Pyle,0,4,0,0,Welterweight,0,KO/TKO,1
1,Cody Stamann,0,95,0,0,Bantamweight,0,S-DEC,3
0,Bryan Caraway,0,59,1,0,Bantamweight,0,S-DEC,3
1,Jordan Johnson,0,59,2,0,Light Heavyweight,0,S-DEC,3
0,Adam Milstead,0,58,0,0,Light Heavyweight,0,S-DEC,3
1,Jeremy Stephens,1,24,0,0,Featherweight,0,KO/TKO,2
0,Josh Emmett,1,18,0,0,Featherweight,0,KO/TKO,2
1,Jessica Andrade,0,92,10,0,Women's Strawweight,0,U-DEC,3
0,Tecia Torres,0,69,2,0,Women's Strawweight,0,U-DEC,3
1,Ilir Latifi,1,25,0,1,Light Heavyweight,0,SUB,1
0,Ovince Saint Preux,0,7,0,0,Light Heavyweight,0,SUB,1
1,Max Griffin,1,78,0,0,Welterweight,0,U-DEC,3
0,Mike Perry,0,45,1,0,Welterweight,0,U-DEC,3
1,Brian Kelleher,0,94,1,0,Bantamweight,0,U-DEC,3
0,Renan Barao,0,116,0,0,Bantamweight,0,U-DEC,3
1,Marion Reneau,0,23,0,1,Women's Bantamweight,0,SUB,2
0,Sara McMann,0,9,2,0,Women's Bantamweight,0,SUB,2
1,Angela Hill,0,114,1,0,Women's Strawweight,0,U-DEC,3
0,Maryna Moroz,0,84,0,0,Women's Strawweight,0,U-DEC,3
1,Alan Jouban,2,78,0,0,Welterweight,0,KO/TKO,2
0,Ben Saunders,0,33,0,0,Welterweight,0,KO/TKO,2
1,Sam Alvey,2,10,1,0,Light Heavyweight,0,KO/TKO,1
0,Marcin Prachnio,0,15,0,0,Light Heavyweight,0,KO/TKO,1
1,Rani Yahya,0,17,2,2,Bantamweight,0,SUB,3
0,Russell Doane,0,2,1,0,Bantamweight,0,SUB,3
1,Alex Perez,0,29,5,0,Flyweight,0,U-DEC,3
0,Eric Shelton,0,41,0,0,Flyweight,0,U-DEC,3
1,Manny Bermudez,0,12,1,3,Bantamweight,0,SUB,2
0,Albert Morales,0,19,1,0,Bantamweight,0,SUB,2
1,Donald Cerrone,3,28,0,0,Welterweight,0,KO/TKO,1
0,Yancy Medeiros,0,25,0,0,Welterweight,0,KO/TKO,1
1,Derrick Lewis,2,30,1,0,Heavyweight,0,KO/TKO,3
0,Marcin Tybura,0,37,1,1,Heavyweight,0,KO/TKO,3
1,James Vick,1,68,1,0,Lightweight,0,U-DEC,3
0,Francisco Trinaldo,0,26,3,1,Lightweight,0,U-DEC,3
1,Curtis Millender,2,47,0,0,Welterweight,0,KO/TKO,2
0,Thiago Alves,0,33,1,0,Welterweight,0,KO/TKO,2
1,Brandon Davis,0,114,0,0,Featherweight,0,U-DEC,3
0,Steven Peterson,0,73,1,0,Featherweight,0,U-DEC,3
1,Sage Northcutt,0,63,1,0,Lightweight,0,U-DEC,3
0,Thibault Gouti,0,28,4,1,Lightweight,0,U-DEC,3
1,Diego Ferreira,1,29,0,0,Lightweight,0,KO/TKO,1
0,Jared Gordon,0,8,0,0,Lightweight,0,KO/TKO,1
1,Geoff Neal,0,14,0,1,Welterweight,0,SUB,1
0,Brian Camozzi,0,7,0,0,Welterweight,0,SUB,1
1,Robert Sanchez,0,2,3,1,Flyweight,0,SUB,1
0,Joby Sanchez,0,1,0,0,Flyweight,0,SUB,1
1,Lucie Pudilova,2,75,0,0,Women's Bantamweight,0,U-DEC,3
0,Sarah Moras,0,43,2,2,Women's Bantamweight,0,U-DEC,3
1,Alex Morono,1,7,0,1,Welterweight,0,SUB,1
0,Joshua Burkman,0,4,0,0,Welterweight,0,SUB,1
1,Oskar Piechota,1,17,0,0,Middleweight,0,KO/TKO,1
0,Tim Williams,0,8,0,0,Middleweight,0,KO/TKO,1
1,Yoel Romero,1,45,0,0,Middleweight,1,KO/TKO,3
0,Luke Rockhold,0,45,0,0,Middleweight,1,KO/TKO,3
1,Curtis Blaydes,0,56,10,0,Heavyweight,0,U-DEC,3
0,Mark Hunt,1,14,0,0,Heavyweight,0,U-DEC,3
1,Tai Tuivasa,0,38,0,0,Heavyweight,0,KO/TKO,1
0,Cyril Asker,0,3,0,0,Heavyweight,0,KO/TKO,1
1,Jake Matthews,2,63,2,1,Welterweight,0,U-DEC,3
0,Li Jingliang,0,49,0,0,Welterweight,0,U-DEC,3
1,Tyson Pedro,0,12,0,1,Light Heavyweight,0,SUB,1
0,Saparbeg Safarov,0,8,2,0,Light Heavyweight,0,SUB,1
1,Dong Hyun Ma,0,67,0,0,Lightweight,0,S-DEC,3
0,Damien Brown,0,46,0,0,Lightweight,0,S-DEC,3
1,Israel Adesanya,1,52,0,0,Middleweight,0,KO/TKO,2
0,Rob Wilkinson,0,22,3,0,Middleweight,0,KO/TKO,2
1,Alexander Volkanovski,0,73,2,0,Featherweight,0,KO/TKO,2
0,Jeremy Kennedy,0,8,0,0,Featherweight,0,KO/TKO,2
1,Jussier Formiga,1,27,2,1,Flyweight,0,SUB,3
0,Ben Nguyen,0,21,0,0,Flyweight,0,SUB,3
1,Ross Pearson,0,58,0,0,Lightweight,0,U-DEC,3
0,Mizuto Hirota,0,77,0,0,Lightweight,0,U-DEC,3
1,Jose Quinonez,0,49,2,0,Bantamweight,0,U-DEC,3
0,Teruto Ishihara,1,33,1,0,Bantamweight,0,U-DEC,3
1,Luke Jumeau,0,63,1,0,Welterweight,0,U-DEC,3
0,Daichi Abe,0,63,0,0,Welterweight,0,U-DEC,3
1,Lyoto Machida,0,62,0,0,Middleweight,0,S-DEC,5
0,Eryk Anders,0,32,3,0,Middleweight,0,S-DEC,5
1,Valentina Shevchenko,0,95,2,2,Women's Flyweight,0,SUB,2
0,Priscila Cachoeira,0,2,0,0,Women's Flyweight,0,SUB,2
1,Michel Prazeres,0,36,3,3,Lightweight,0,U-DEC,3
0,Desmond Green,0,33,3,0,Lightweight,0,U-DEC,3
1,Timothy Johnson,0,77,0,0,Heavyweight,0,U-DEC,3
0,Marcelo Golm,0,59,0,0,Heavyweight,0,U-DEC,3
1,Douglas Silva de Andrade,0,97,1,0,Bantamweight,0,U-DEC,3
0,Marlon Vera,0,72,0,0,Bantamweight,0,U-DEC,3
1,Thiago Santos,2,58,0,0,Middleweight,0,KO/TKO,2
0,Anthony Smith,0,10,1,0,Middleweight,0,KO/TKO,2
1,Sergio Moraes,0,87,0,0,Welterweight,0,S-DEC,3
0,Tim Means,1,129,0,0,Welterweight,0,S-DEC,3
1,Alan Patrick,0,28,9,0,Lightweight,0,U-DEC,3
0,Damir Hadzovic,0,20,0,1,Lightweight,0,U-DEC,3
1,Polyana Viana,0,12,1,3,Women's Strawweight,0,SUB,1
0,Maia Stevenson,0,6,1,0,Women's Strawweight,0,SUB,1
1,Iuri Alcantara,1,17,0,0,Bantamweight,0,KO/TKO,1
0,Joe Soto,0,1,0,0,Bantamweight,0,KO/TKO,1
1,Deiveson Figueiredo,1,31,2,1,Flyweight,0,KO/TKO,2
0,Joseph Morales,0,9,0,0,Flyweight,0,KO/TKO,2
1,Jacare Souza,1,9,0,0,Middleweight,0,KO/TKO,1
0,Derek Brunson,0,8,0,0,Middleweight,0,KO/TKO,1
1,Andre Fili,0,80,4,0,Featherweight,0,S-DEC,3
0,Dennis Bermudez,0,103,1,0,Featherweight,0,S-DEC,3
1,Gregor Gillespie,0,34,1,0,Lightweight,0,KO/TKO,1
0,Jordan Rinaldi,0,7,0,0,Lightweight,0,KO/TKO,1
1,Drew Dober,0,145,0,0,Welterweight,0,U-DEC,3
0,Frank Camacho,0,106,3,0,Welterweight,0,U-DEC,3
1,Bobby Green,0,110,1,0,Lightweight,0,U-DEC,3
0,Erik Koch,0,56,1,0,Lightweight,0,U-DEC,3
1,Mirsad Bektic,1,12,0,0,Featherweight,0,KO/TKO,1
0,Godofredo Pepey,0,5,0,0,Featherweight,0,KO/TKO,1
1,Katlyn Chookagian,0,68,0,1,Women's Flyweight,0,U-DEC,3
0,Mara Romero Borella,0,79,1,0,Women's Flyweight,0,U-DEC,3
1,Randa Markos,0,46,2,0,Women's Strawweight,0,U-DEC,3
0,Juliana Lima,0,18,1,0,Women's Strawweight,0,U-DEC,3
1,Ji Yeon Kim,0,68,0,0,Women's Flyweight,0,S-DEC,3
0,Justine Kish,0,96,0,0,Women's Flyweight,0,S-DEC,3
1,Vinc Pichel,0,60,1,0,Lightweight,0,U-DEC,3
0,Joaquim Silva,0,45,0,0,Lightweight,0,U-DEC,3
1,Niko Price,0,24,2,3,Welterweight,0,SUB,2
0,George Sullivan,0,21,1,0,Welterweight,0,SUB,2
1,Cory Sandhagen,1,80,1,0,Featherweight,0,KO/TKO,2
0,Austin Arnett,0,32,1,0,Featherweight,0,KO/TKO,2
1,Stipe Miocic,0,70,6,0,Heavyweight,1,U-DEC,5
0,Francis Ngannou,0,21,0,1,Heavyweight,1,U-DEC,5
1,Daniel Cormier,0,32,2,1,Light Heavyweight,1,KO/TKO,2
0,Volkan Oezdemir,0,38,0,0,Light Heavyweight,1,KO/TKO,2
1,Calvin Kattar,1,85,0,0,Featherweight,0,KO/TKO,3
0,Shane Burgos,0,89,0,0,Featherweight,0,KO/TKO,3
1,Gian Villante,0,74,0,0,Light Heavyweight,0,S-DEC,3
0,Francimar Barroso,0,74,0,0,Light Heavyweight,0,S-DEC,3
1,Rob Font,2,41,1,0,Bantamweight,0,KO/TKO,2
0,Thomas Almeida,0,24,0,0,Bantamweight,0,KO/TKO,2
1,Kyle Bochniak,0,33,3,0,Featherweight,0,U-DEC,3
0,Brandon Davis,0,38,1,0,Featherweight,0,U-DEC,3
1,Abdul Razak Alhassan,1,13,0,0,Welterweight,0,KO/TKO,1
0,Sabah Homasi,0,8,1,0,Welterweight,0,KO/TKO,1
1,Dustin Ortiz,0,36,7,0,Flyweight,0,U-DEC,3
0,Alexandre Pantoja,0,19,1,2,Flyweight,0,U-DEC,3
1,Julio Arce,0,72,0,0,Featherweight,0,U-DEC,3
0,Dan Ige,0,35,1,0,Featherweight,0,U-DEC,3
1,Enrique Barzola,0,55,5,0,Featherweight,0,U-DEC,3
0,Matt Bessette,0,43,0,0,Featherweight,0,U-DEC,3
1,Islam Makhachev,1,3,0,0,Lightweight,0,KO/TKO,1
0,Gleison Tibau,0,2,0,0,Lightweight,0,KO/TKO,1
1,Jeremy Stephens,1,49,0,0,Featherweight,0,KO/TKO,2
0,Dooho Choi,0,44,0,0,Featherweight,0,KO/TKO,2
1,Jessica-Rose Clark,0,55,2,1,Women's Flyweight,0,U-DEC,3
0,Paige VanZant,0,54,0,0,Women's Flyweight,0,U-DEC,3
1,Kamaru Usman,0,50,8,0,Welterweight,0,U-DEC,3
0,Emil Meek,0,30,0,2,Welterweight,0,U-DEC,3
1,Darren Elkins,0,18,1,1,Featherweight,0,SUB,2
0,Michael Johnson,0,45,0,0,Featherweight,0,SUB,2
1,James Krause,0,35,3,2,Lightweight,0,U-DEC,3
0,Alex White,0,56,1,0,Lightweight,0,U-DEC,3
1,Marco Polo Reyes,2,18,0,0,Lightweight,0,KO/TKO,1
0,Matt Frevola,0,9,0,0,Lightweight,0,KO/TKO,1
1,Irene Aldana,0,70,1,0,Women's Bantamweight,0,U-DEC,3
0,Talita Bernardo,0,46,1,0,Women's Bantamweight,0,U-DEC,3
1,Kyung Ho Kang,0,3,1,1,Bantamweight,0,SUB,1
0,Guido Cannetti,0,19,1,0,Bantamweight,0,SUB,1
1,Jessica Eye,0,25,3,6,Women's Flyweight,0,S-DEC,3
0,Kalindra Faria,0,38,1,1,Women's Flyweight,0,S-DEC,3
1,JJ Aldrich,0,54,1,0,Women's Strawweight,0,U-DEC,3
0,Danielle Taylor,0,38,0,0,Women's Strawweight,0,U-DEC,3
1,Mads Burnell,0,20,3,1,Featherweight,0,U-DEC,3
0,Mike Santiago,0,51,3,2,Featherweight,0,U-DEC,3
1,Cristiane Justino,0,118,0,0,Women's Featherweight,1,U-DEC,5
0,Holly Holm,0,44,0,0,Women's Featherweight,1,U-DEC,5
1,Khabib Nurmagomedov,0,89,4,0,Lightweight,0,U-DEC,3
0,Edson Barboza,0,25,0,0,Lightweight,0,U-DEC,3
1,Dan Hooker,0,17,2,1,Lightweight,0,SUB,3
0,Marc Diakiese,0,24,0,0,Lightweight,0,SUB,3
1,Carla Esparza,0,48,2,1,Women's Strawweight,0,U-DEC,3
0,Cynthia Calvillo,0,38,1,0,Women's Strawweight,0,U-DEC,3
1,Neil Magny,0,32,6,0,Welterweight,0,U-DEC,3
0,Carlos Condit,0,37,0,0,Welterweight,0,U-DEC,3
1,Khalil Rountree Jr.,0,52,0,1,Light Heavyweight,0,Overturned,3
0,Michal Oleksiejczuk,0,76,2,0,Light Heavyweight,0,Overturned,3
1,Myles Jury,0,41,2,0,Featherweight,0,U-DEC,3
0,Rick Glenn,0,14,0,0,Featherweight,0,U-DEC,3
1,Marvin Vettori,0,66,0,2,Middleweight,0,M-DEC,3
0,Omari Akhmedov,0,51,0,0,Middleweight,0,M-DEC,3
1,Matheus Nicolau,3,87,3,2,Flyweight,0,U-DEC,3
0,Louis Smolka,0,49,0,0,Flyweight,0,U-DEC,3
1,Tim Elliott,0,12,1,2,Bantamweight,0,SUB,2
0,Mark De La Rosa,0,2,0,0,Bantamweight,0,SUB,2
1,Rafael Dos Anjos,0,172,2,0,Welterweight,0,U-DEC,5
0,Robbie Lawler,0,86,0,0,Welterweight,0,U-DEC,5
1,Josh Emmett,1,10,0,0,Featherweight,0,KO/TKO,1
0,Ricardo Lamas,0,17,0,0,Featherweight,0,KO/TKO,1
1,Santiago Ponzinibbio,1,78,3,0,Welterweight,0,U-DEC,3
0,Mike Perry,0,51,1,0,Welterweight,0,U-DEC,3
1,Glover Teixeira,0,13,1,1,Light Heavyweight,0,KO/TKO,1
0,Misha Cirkunov,0,21,0,0,Light Heavyweight,0,KO/TKO,1
1,Jan Blachowicz,1,50,4,0,Light Heavyweight,0,U-DEC,3
0,Jared Cannonier,0,26,0,0,Light Heavyweight,0,U-DEC,3
1,Julian Marquez,0,32,0,3,Middleweight,0,SUB,2
0,Darren Stewart,0,33,4,0,Middleweight,0,SUB,2
1,Chad Laprise,0,20,1,0,Welterweight,0,KO/TKO,1
0,Galore Bofando,1,13,0,0,Welterweight,0,KO/TKO,1
1,Nordine Taleb,1,5,0,0,Welterweight,0,KO/TKO,1
0,Danny Roberts,0,1,0,0,Welterweight,0,KO/TKO,1
1,John Makdessi,1,47,0,0,Lightweight,0,U-DEC,3
0,Abel Trujillo,0,29,1,0,Lightweight,0,U-DEC,3
1,Alessio Di Chirico,1,6,1,0,Middleweight,0,KO/TKO,2
0,Oluwale Bamgbose,0,10,0,0,Middleweight,0,KO/TKO,2
1,Jordan Mein,0,51,3,1,Welterweight,0,U-DEC,3
0,Erick Silva,0,13,0,0,Welterweight,0,U-DEC,3
1,Brian Ortega,0,24,0,2,Featherweight,0,SUB,2
0,Cub Swanson,0,60,0,0,Featherweight,0,SUB,2
1,Gabriel Benitez,0,85,0,0,Featherweight,0,U-DEC,3
0,Jason Knight,0,36,1,0,Featherweight,0,U-DEC,3
1,Marlon Moraes,2,7,0,0,Bantamweight,0,KO/TKO,1
0,Aljamain Sterling,0,3,0,0,Bantamweight,0,KO/TKO,1
1,Scott Holtzman,0,49,7,0,Lightweight,0,U-DEC,3
0,Darrell Horcher,0,36,1,0,Lightweight,0,U-DEC,3
1,Eryk Anders,0,79,2,0,Middleweight,0,U-DEC,3
0,Markus Perez,0,30,2,1,Middleweight,0,U-DEC,3
1,Benito Lopez,1,78,0,1,Bantamweight,0,U-DEC,3
0,Albert Morales,0,78,0,0,Bantamweight,0,U-DEC,3
1,Alexis Davis,0,23,1,2,Women's Flyweight,0,S-DEC,3
0,Liz Carmouche,0,49,4,0,Women's Flyweight,0,S-DEC,3
1,Andre Soukhamthath,1,20,0,0,Bantamweight,0,KO/TKO,2
0,Luke Sanders,0,23,0,0,Bantamweight,0,KO/TKO,2
1,Alex Perez,0,24,2,3,Bantamweight,0,SUB,2
